i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_emissionQuant,out_refuelingRate,out_chainedEnergy
93,5,12.785088718582324,2.557017743716465,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1992,1,1,19,1.6487064219464231,0.31,627348.6636795271
94,5,12.603265015943999,2.5206530031887997,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991,1,1,19,1.580391359011642,0.31,601354.1246452695
95,5,10.501237834887378,2.1002475669774756,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1990,1,1,19,1.3831775762296168,0.31,526312.3819550062
96,5,10.217773915995503,2.0435547831991006,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989,1,1,19,1.3416144268140304,0.31,510497.2035235438
97,5,9.15454189972411,1.830908379944822,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1988,1,1,19,1.1916676441640817,0.31,453441.0093665304
98,5,9.00619255308734,1.801238510617468,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1987,1,1,19,1.159217495413824,0.31,441093.4154082061
99,5,7.780739775004618,1.5561479550009236,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1986,1,1,19,1.016482761698232,0.31,386781.4752925028
100,5,5.992761098455286,1.1985522196910572,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1985,1,1,19,0.865046801653474,0.31,329158.63480223116
101,5,4.779871405562617,0.9559742811125235,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1984,1,1,19,0.6885466473463463,0.31,261998.62713204502
102,5,3.5629958872973577,0.7125991774594715,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1983,1,1,19,0.5068067726055717,0.31,192844.8554003215
103,5,2.6061493961116446,0.5212298792223289,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1982,1,1,19,0.35137607389709924,0.31,133701.9783959253
104,5,1.8323500164585729,0.3664700032917146,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1981,1,1,19,0.30330236197445853,0.31,115409.46826111416
105,5,23.19180710506584,4.638361421013168,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,1,1,19,4.067158431903744,0.31,1547592.933019248
106,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,2,1,19,0.0010042051436006056,0.155,886.0853516160128
107,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,2,1,19,0.01181338918180597,0.155,10423.837373910692
108,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,2,1,19,0.014514006769728156,0.155,12806.794382470049
109,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,2,1,19,0.013840226983149897,0.155,12212.268051962217
110,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,2,1,19,0.1839850543304866,0.155,162343.78263985435
111,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,2,1,19,0.23258960005809698,0.155,205231.21083681172
112,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,2,1,19,0.2455505689374855,0.155,216667.6436612833
113,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,2,1,19,0.20177150407741193,0.155,178038.0983665154
114,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,2,1,19,0.1740257370736547,0.155,153555.9316816988
115,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,2,1,19,0.15490563175742728,0.155,136684.8318371806
116,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,2,1,19,0.10002177801839951,0.155,88256.70024644044
117,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,2,1,19,0.011084213511384222,0.155,9780.43110933128
118,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2202210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,2,1,19,0.007889205409250132,0.155,6961.236350534599
